iter	Passed	Remaining
0	3	3201
1	7	3553
2	12	4047
3	16	4162
4	20	4153
5	25	4161
6	29	4181
7	33	4200
8	37	4115
9	41	4115
10	45	4100
11	49	4110
12	53	4091
13	59	4184
14	63	4148
15	66	4111
16	70	4075
17	74	4072
18	78	4039
19	81	4000
20	85	3971
21	89	3981
22	93	3959
23	96	3925
24	99	3897
25	103	3874
26	108	3898
27	111	3885
28	115	3875
29	119	3863
30	123	3868
31	127	3850
32	130	3831
33	134	3817
34	138	3820
35	143	3830
36	147	3838
37	152	3869
38	157	3888
39	161	3878
40	165	3868
41	169	3860
42	173	3865
43	177	3853
44	181	3844
45	184	3830
46	188	3825
47	192	3808
48	195	3792
49	198	3778
50	203	3789
51	207	3780
52	210	3767
53	214	3755
54	218	3759
55	222	3748
56	225	3738
57	229	3734
58	234	3740
59	238	3734
60	242	3726
61	246	3729
62	251	3733
63	255	3735
64	259	3726
65	262	3720
66	267	3728
67	271	3723
68	275	3719
69	279	3709
70	283	3704
71	286	3696
72	290	3689
73	295	3696
74	301	3717
75	306	3723
76	310	3716
77	314	3718
78	319	3720
79	323	3722
80	327	3716
81	330	3705
82	335	3701
83	338	3685
84	341	3679
85	345	3673
86	349	3670
87	352	3657
88	356	3644
89	359	3632
90	362	3622
91	366	3612
92	369	3600
93	372	3587
94	375	3574
95	378	3564
96	382	3557
97	385	3544
98	388	3532
99	391	3520
100	394	3513
101	397	3501
102	400	3488
103	403	3475
104	406	3463
105	409	3451
106	412	3445
107	416	3436
108	418	3423
109	421	3410
110	424	3396
111	428	3394
112	430	3381
113	433	3368
114	436	3356
115	438	3344
116	442	3342
117	447	3346
118	452	3348
119	457	3352
120	460	3348
121	465	3351
122	468	3343
123	472	3335
124	475	3331
125	478	3321
126	481	3310
127	484	3300
128	487	3293
129	490	3285
130	493	3275
131	496	3265
132	499	3255
133	502	3248
134	505	3241
135	509	3237
136	512	3228
137	515	3218
138	518	3212
139	522	3210
140	526	3205
141	528	3196
142	532	3193
143	536	3188
144	540	3187
145	544	3183
146	548	3180
147	551	3175
148	554	3169
149	558	3166
150	561	3158
151	564	3149
152	567	3140
153	570	3133
154	573	3126
155	576	3117
156	579	3109
157	581	3101
158	584	3094
159	588	3088
160	591	3081
161	595	3080
162	599	3077
163	604	3082
164	608	3081
165	611	3074
166	614	3067
167	618	3062
168	622	3060
169	625	3054
170	628	3047
171	631	3041
172	635	3039
173	639	3035
174	642	3028
175	645	3021
176	648	3014
177	652	3014
178	655	3008
179	659	3002
180	661	2995
181	665	2989
182	668	2984
183	672	2982
184	675	2975
185	678	2968
186	681	2962
187	684	2956
188	687	2948
189	690	2941
190	692	2934
191	696	2929
192	699	2925
193	702	2918
194	705	2911
195	707	2903
196	711	2899
197	714	2894
198	717	2889
199	720	2883
200	723	2876
201	726	2871
202	730	2868
203	733	2862
204	736	2855
205	740	2854
206	744	2850
207	749	2852
208	753	2853
209	757	2850
210	761	2846
211	765	2847
212	769	2842
213	772	2838
214	775	2832
215	779	2828
216	782	2823
217	786	2822
218	790	2820
219	795	2819
220	798	2814
221	802	2812
222	805	2807
223	809	2805
224	813	2802
225	817	2798
226	820	2794
227	823	2789
228	828	2788
229	832	2787
230	836	2784
231	839	2778
232	842	2774
233	847	2773
234	851	2771
235	855	2769
236	866	2789
237	872	2792
238	876	2789
239	880	2787
240	884	2785
241	888	2782
242	892	2781
243	897	2781
244	901	2779
245	909	2787
246	913	2786
247	917	2782
248	921	2778
249	926	2778
250	930	2775
251	933	2770
252	936	2766
253	942	2767
254	945	2762
255	948	2757
256	951	2751
257	955	2748
258	959	2744
259	963	2741
260	966	2735
261	969	2730
262	973	2728
263	977	2725
264	980	2720
265	984	2715
266	988	2713
267	992	2710
268	995	2705
269	998	2699
270	1001	2694
271	1006	2694
272	1010	2690
273	1013	2684
274	1016	2679
275	1020	2677
276	1024	2673
277	1027	2668
278	1030	2662
279	1034	2659
280	1039	2659
281	1044	2658
282	1049	2657
283	1056	2664
284	1060	2660
285	1064	2658
286	1068	2654
287	1074	2655
288	1078	2652
289	1083	2653
290	1087	2650
291	1091	2645
292	1094	2640
293	1098	2637
294	1102	2635
295	1106	2631
296	1109	2627
297	1114	2625
298	1118	2622
299	1121	2617
300	1126	2615
301	1130	2612
302	1133	2607
303	1136	2602
304	1139	2597
305	1143	2592
306	1146	2589
307	1150	2584
308	1153	2579
309	1156	2574
310	1160	2570
311	1175	2592
312	1179	2589
313	1182	2583
314	1185	2577
315	1188	2572
316	1194	2574
317	1200	2575
318	1205	2574
319	1209	2571
320	1213	2567
321	1217	2563
322	1220	2558
323	1224	2555
